itemID,item,type,category,choices,complexity_category,definition,gloss,uni_lemma
item_34,P2GIRL,word,people,produces,NA,女孩,girl,girl
item_35,P2BOY,word,people,produces,NA,男孩,boy,boy
item_36,P2MAN,word,people,produces,NA,男人,man,man
item_37,P2LAOSH,word,people,produces,NA,老师,teacher,teacher
item_38,P2POLIC,word,people,produces,NA,警察,policeman,police
item_39,P2DAIFU,word,people,produces,NA,医生/大夫,NA,doctor
item_40,P2DONDU,word,people,produces,NA,唐老鸭,donald duck,NA
item_41,P2MICKY,word,people,produces,NA,米老鼠,mickey mouse,NA
item_42,P2SUNWU,word,people,produces,NA,孙悟空,sun wukong,NA
item_43,P2ZHUBJ,word,people,produces,NA,猪八戒,zhu bajie,NA
item_44,P2PENGY,word,people,produces,NA,朋友,friend,friend
item_45,G3WANT,word,games_routines,produces,NA,要,want,wanna
item_46,G3NOTWA,word,games_routines,produces,NA,不要,don't,don't
item_47,G3BYE,word,games_routines,produces,NA,再见/Byebye,bye,bye
item_48,G3THANK,word,games_routines,produces,NA,谢谢,thank you,thank you
item_49,G3PEE,word,games_routines,produces,NA,撒尿/尿尿,pee,pee
item_50,G3POOP,word,games_routines,produces,NA,拉屎/拉臭臭,poop,poop
item_51,G3EAT,word,games_routines,produces,NA,吃饭,eat,eat
item_52,G3WASH,word,games_routines,produces,NA,洗澡,bath,bath
item_53,G3NAP,word,games_routines,produces,NA,休息/歇会儿,nap,nap
item_54,G3BUY,word,games_routines,produces,NA,买(东西),buy,buy
item_55,G3PHONE,word,games_routines,produces,NA,打（电话）,phone,call
item_56,G3HIDE,word,games_routines,produces,NA,藏猫猫,hide and seek,hide and seek
item_57,G3GOTYA,word,games_routines,produces,NA,抓（逮）住了!,catch,catch
item_58,G3CLAP,word,games_routines,produces,NA,你拍一，我拍一,clap,clap
item_59,G3HI,word,games_routines,produces,NA,你好,hello,hello
item_60,G3XHAO,word,games_routines,produces,NA,（某某某）好,hello,hello
item_61,G3PLEAS,word,games_routines,produces,NA,请,please,please
item_62,G3GREAT,word,games_routines,produces,NA,(真)棒!,good job,bravo
item_63,G3HAOBA,word,games_routines,produces,NA,好吧,ok,ok
item_64,G3SHI,word,games_routines,produces,NA,是,yes,yes
item_65,G3CORRE,word,games_routines,produces,NA,对了,NA,NA
item_66,G3NOTOK,word,games_routines,produces,NA,不行,cannot,cannot
item_67,G3FAST,word,games_routines,produces,NA,快点,fast,fast
item_68,G3WAIT,word,games_routines,produces,NA,等等,wait,wait
item_69,G3EASY,word,games_routines,produces,NA,轻点,easy,easy
item_70,G3LISTN,word,games_routines,produces,NA,听话,NA,listen
item_71,G3GOSCH,word,games_routines,produces,NA,上学,go to school,go to school
item_72,G3ONEYR,word,games_routines,produces,NA,一岁/两岁,NA,years old
item_73,V4HOLD,word,action_words,produces,NA,抱,hug,hug
item_74,V4NA,word,action_words,produces,NA,拿（过来）,NA,bring
item_75,V4COME,word,action_words,produces,NA,来,come,come
item_76,V4WALK,word,action_words,produces,NA,走,walk,walk
item_77,V4SIT,word,action_words,produces,NA,坐,sit,sit
item_78,V4STAND,word,action_words,produces,NA,站,stand,stand
item_79,V4SQUAT,word,action_words,produces,NA,蹲,squat,squat
item_80,V4PEE,word,action_words,produces,NA,尿,pee,pee
item_81,V4ASCND,word,action_words,produces,NA,上,up,up
item_82,V4DOWN,word,action_words,produces,NA,下,down,down
item_83,V4DRINK,word,action_words,produces,NA,喝,drink (action),drink (action)
item_84,V4EAT,word,action_words,produces,NA,吃,eat,eat
item_85,V4FEED,word,action_words,produces,NA,喂,feed,feed
item_86,V4CRAWL,word,action_words,produces,NA,爬,climb,climb
item_87,V4WANT,word,action_words,produces,NA,要,need,need
item_88,V4HAVE,word,action_words,produces,NA,有,have,have
item_89,V4SLEEP,word,action_words,produces,NA,睡觉,sleep,sleep
item_90,V4COVER,word,action_words,produces,NA,盖上,cover,cover (action)
item_91,V4PLAY,word,action_words,produces,NA,玩,play,play
item_92,V4OPEN,word,action_words,produces,NA,开（门）,open,open (action)
item_93,V4GUAN,word,action_words,produces,NA,关,close,close
item_94,V4DRAW,word,action_words,produces,NA,画画,draw,draw
item_95,V4HIT,word,action_words,produces,NA,打,hit,hit
item_96,V4BEI,word,action_words,produces,NA,背,back,carry
item_97,V4WEAR2,word,action_words,produces,NA,戴,wear,wear
item_98,V4WASH,word,action_words,produces,NA,洗,wash,wash
item_99,V4CLEAN,word,action_words,produces,NA,擦,wipe,wipe
item_100,V4KISS,word,action_words,produces,NA,亲（一个）,kiss,kiss
item_101,V4FLY,word,action_words,produces,NA,飞,fly,fly (action)
item_102,V4LIANG,word,action_words,produces,NA,亮了,brighten,brighten
item_103,V4DAKAI,word,action_words,produces,NA,打开,open,open (action)
item_104,V4GETUP,word,action_words,produces,NA,起来,get up,get up
item_105,V4PEEL,word,action_words,produces,NA,剥,peel,peel
item_106,V4CALL,word,action_words,produces,NA,叫,cry,cry
item_107,V4KAN,word,action_words,produces,NA,看,look,look
item_108,V4RUN,word,action_words,produces,NA,跑,run,run
item_109,V4JUMP,word,action_words,produces,NA,跳,jump,jump
item_110,V4KICK,word,action_words,produces,NA,踢,kick,kick
item_111,V4DAOSH,word,action_words,produces,NA,倒（水）,pour,pour
item_112,V4BUY,word,action_words,produces,NA,买,buy,buy
item_113,V4TOUCH,word,action_words,produces,NA,摸,touch,touch
item_114,V4WEAR,word,action_words,produces,NA,穿,wear,wear
item_115,V4GIVE,word,action_words,produces,NA,给,give,give
item_116,V4SEND,word,action_words,produces,NA,送,send,send
item_117,V4DROP,word,action_words,produces,NA,掉,drop,drop
item_118,V4LAUGH,word,action_words,produces,NA,笑,smile,smile
item_119,V4CRY,word,action_words,produces,NA,哭,cry,cry
item_120,V4CLAP,word,action_words,produces,NA,拍,clap,clap
item_121,V4CAN,word,action_words,produces,NA,会,can,can (auxiliary)
item_122,V4WRITE,word,action_words,produces,NA,写,write,write
item_123,V4LAY,word,action_words,produces,NA,躺,lie,lie down
item_124,V4LIEFL,word,action_words,produces,NA,趴,lie,lie down
item_125,V4RIDE,word,action_words,produces,NA,骑,ride,ride
item_126,V4DRIVE,word,action_words,produces,NA,开（车）,drive,drive
item_127,V4BOUNC,word,action_words,produces,NA,蹦,hop,hop
item_128,V4SWEEP,word,action_words,produces,NA,扫（地）,sweep,sweep
item_129,V4GO,word,action_words,produces,NA,去,go,go
item_130,V4PUT,word,action_words,produces,NA,放,put,put
item_131,V4BITE,word,action_words,produces,NA,咬,bite,bite
item_132,V4THROW,word,action_words,produces,NA,扔,throw,throw
item_133,V4SPIT,word,action_words,produces,NA,吐,spit,spit
item_134,V4SAY,word,action_words,produces,NA,说,say,say
item_135,V4BLOW,word,action_words,produces,NA,吹,blow,blow
item_136,V4CHASE,word,action_words,produces,NA,追,chase,chase
item_137,V4TRIP,word,action_words,produces,NA,摔,fall,fall
item_138,V4IS,word,action_words,produces,NA,是（什么）,be,be
item_139,V4THINK,word,action_words,produces,NA,想,think,think
item_140,V4KNOW,word,action_words,produces,NA,知道,know,know
item_141,V4COMB,word,action_words,produces,NA,梳,comb,comb (action)
item_142,V4SHUA,word,action_words,produces,NA,刷,brush,brush (action)
item_143,V4SING,word,action_words,produces,NA,唱,sing,sing
item_144,V4LISTN,word,action_words,produces,NA,听,hear,hear
item_145,V4HEAR,word,action_words,produces,NA,听见,hear,hear
item_146,V4PRICK,word,action_words,produces,NA,扎,prick,prick
item_147,V4PUSH,word,action_words,produces,NA,推,push,push
item_148,V4PCKUP,word,action_words,produces,NA,捡,pick up,pick up
item_149,V4LOOK,word,action_words,produces,NA,找,look,look for
item_150,V4ARRIV,word,action_words,produces,NA,倒了,fall,fall
item_151,V4ENTER,word,action_words,produces,NA,进去,enter,enter
item_152,V4EXIT,word,action_words,produces,NA,出去,leave,leave
item_153,V4GUO,word,action_words,produces,NA,过,cross,cross
item_154,V4RETUR,word,action_words,produces,NA,回来,return,return
item_155,V4STEP,word,action_words,produces,NA,踩,step,step
item_156,V4HIDE,word,action_words,produces,NA,藏,hide,hide
item_157,V4PULL,word,action_words,produces,NA,拉/拽,pull,pull
item_158,V4JIANG,word,action_words,produces,NA,讲,tell,tell
item_159,V4SHAKE,word,action_words,produces,NA,握（手）,shake,shake
item_160,V4KNOCK,word,action_words,produces,NA,敲,knock,knock
item_161,V4CLOSE,word,action_words,produces,NA,闭（眼、嘴）,close,close
item_162,V4LOSE,word,action_words,produces,NA,丢,lose,lose
item_163,V4LIKE,word,action_words,produces,NA,喜欢,love,like
item_164,V4DONG,word,action_words,produces,NA,动,move,move
item_165,V4WAIT,word,action_words,produces,NA,等,wait,wait
item_166,V4AWAKE,word,action_words,produces,NA,醒,wake,wake
item_167,V4SLIDE,word,action_words,produces,NA,滑,slide (action),slide (action)
item_168,V4CHOP,word,action_words,produces,NA,切（菜）,cut,cut
item_169,V4CUT,word,action_words,produces,NA,剪,cut,cut
item_170,V4TEAR,word,action_words,produces,NA,撕,tear,tear
item_171,V4SPRAY,word,action_words,produces,NA,洒,splash,splash
item_172,V4SPILL,word,action_words,produces,NA,撒,spill,spill
item_173,V4SOUND,word,action_words,produces,NA,响,sound (action),sound (action)
item_174,V4MEET,word,action_words,produces,NA,接,receive,receive
item_175,V4PENG,word,action_words,produces,NA,碰,hit,hit
item_176,V4DENG4,word,action_words,produces,NA,蹬,step,step
item_177,V4ZHUA,word,action_words,produces,NA,抓,catch,catch
item_178,V4MOVE,word,action_words,produces,NA,搬,move,move
item_179,V4DUAN,word,action_words,produces,NA,端,carry,carry
item_180,V4MASSG,word,action_words,produces,NA,揉,rub,rub
item_181,V4SPIN,word,action_words,produces,NA,转,spin,spin
item_182,V4LOVE,word,action_words,produces,NA,爱,love,love
item_183,V4SMILE,word,action_words,produces,NA,乐（一个）,smile,smile
item_184,V4COUNT,word,action_words,produces,NA,数数,count,count
item_185,V4KE,word,action_words,produces,NA,磕,knock,knock
item_186,V4FLIP,word,action_words,produces,NA,翻,flip,flip
item_187,V4JIA,word,action_words,produces,NA,夹,pick,pick
item_188,V4SMELL,word,action_words,produces,NA,闻,smell,smell
item_189,V4TASTE,word,action_words,produces,NA,尝,taste,taste
item_190,V4SWALL,word,action_words,produces,NA,咽,swallow,swallow
item_191,V4COOK,word,action_words,produces,NA,做饭,cook,cook
item_192,V4DANCE,word,action_words,produces,NA,跳舞,dance,dance
item_193,V4CHNGE,word,action_words,produces,NA,换,exchange,exchange
item_194,V4RUB,word,action_words,produces,NA,抹（油等）,wipe,wipe
item_195,V4STUFF,word,action_words,produces,NA,装,fill,fill
item_196,V4PICK,word,action_words,produces,NA,摘（揪）,pick,pick
item_197,V4LET,word,action_words,produces,NA,让,let,let
item_198,V4FIX,word,action_words,produces,NA,修,fix,fix
item_199,V4TRY,word,action_words,produces,NA,使劲,put in effort,NA
item_200,V4LIFT,word,action_words,produces,NA,举,lift,lift (action)
item_201,V4HANG,word,action_words,produces,NA,挂,hang,hang
item_202,V4ROLL,word,action_words,produces,NA,滚,roll,roll (action)
item_203,V4PINCH,word,action_words,produces,NA,挖,dig,dig
item_204,V4FU,word,action_words,produces,NA,扶,support,support
item_205,V4LEARN,word,action_words,produces,NA,学,learn,learn
item_206,V4REMEM,word,action_words,produces,NA,记（得）,remember,remember
item_207,V4DAMAG,word,action_words,produces,NA,打破/打碎,break,break
item_208,V4TWIST,word,action_words,produces,NA,扭,twist,twist
item_209,V4STOP,word,action_words,produces,NA,停,stop,stop
item_210,V4SQUIS,word,action_words,produces,NA,压,squeeze,squeeze
item_211,V4CRASH,word,action_words,produces,NA,撞,bump,bump
item_212,V4INSER,word,action_words,produces,NA,插,insert,insert
item_213,V4HUG,word,action_words,produces,NA,搂,hug,hug
item_214,V4BRING,word,action_words,produces,NA,带,bring,bring
item_215,V4DA,word,action_words,produces,NA,搭,ride,ride
item_216,V4FOLLO,word,action_words,produces,NA,跟着,follow,follow
item_217,V4DIAL,word,action_words,produces,NA,拨（电话）,NA,call
item_218,V4TEASE,word,action_words,produces,NA,逗,amuse,amuse
item_219,V4LINE,word,action_words,produces,NA,排（队）,queue,queue
item_220,V4DO,word,action_words,produces,NA,干（什么）,NA,do
item_221,V4USE,word,action_words,produces,NA,用,use,use
item_222,V4LICK,word,action_words,produces,NA,舔,lick,lick
item_223,V4CHEW,word,action_words,produces,NA,嚼,chew,chew
item_224,V4TURN,word,action_words,produces,NA,拐（弯）,turn,turn
item_225,V4BEND,word,action_words,produces,NA,弯,bend,bend
item_226,V4GRAB,word,action_words,produces,NA,抢,grab,grab
item_227,V4BLINK,word,action_words,produces,NA,眨（眼）,blink,blink
item_228,V4WIND,word,action_words,produces,NA,拧,wind,wind
item_229,V4SHOUT,word,action_words,produces,NA,叫唤,shout,shout
item_230,V4QIAO,word,action_words,produces,NA,瞧,look,look
item_231,V4NONG,word,action_words,produces,NA,弄,make,make
item_232,V4SWIM,word,action_words,produces,NA,游泳,swim,swim
item_233,V4STICK,word,action_words,produces,NA,贴,stick,stick
item_234,V4PLUCK,word,action_words,produces,NA,拔（草）,pick,pick
item_235,V4GROW,word,action_words,produces,NA,长（大）,grow,grow
item_236,V4CAP,word,action_words,produces,NA,套,cap,cover (action)
item_237,V4BREAK,word,action_words,produces,NA,拆,break,break
item_238,V4READ,word,action_words,produces,NA,读,read,read
item_239,V4GE,word,action_words,produces,NA,搁,put,put
item_240,V4CHOU,word,action_words,produces,NA,瞅,look,look
item_241,V4CATCH,word,action_words,produces,NA,逮（坏蛋）,catch,catch
item_242,V4DUO,word,action_words,produces,NA,躲,hide,hide
item_243,V4WAIT2,word,action_words,produces,NA,待（一会儿）,wait,wait
item_244,V4YELL,word,action_words,produces,NA,嚷,shout,shout
item_245,V4ASK,word,action_words,produces,NA,问,ask,ask
item_246,V4TELL,word,action_words,produces,NA,告诉,tell,tell
item_247,V4ROLLU,word,action_words,produces,NA,捋/挽（袖子）,tug,tug
item_248,V4RINSE,word,action_words,produces,NA,冲,rinse,rinse
item_249,V4HELP,word,action_words,produces,NA,帮助/帮忙,help,help
item_250,V4DRAG,word,action_words,produces,NA,拖,pull,pull
item_251,V4SWING,word,action_words,produces,NA,悠,swing (action),swing (action)
item_252,V4TIEUP,word,action_words,produces,NA,绑,tie,tie (action)
item_253,V4STIR,word,action_words,produces,NA,搅,stir,stir
item_254,V4RAO,word,action_words,produces,NA,绕,go around,go around
item_255,V4PRESS,word,action_words,produces,NA,摁（按）,press,press
item_256,V4DREAM,word,action_words,produces,NA,做梦,dream,dream
item_257,V4WORK,word,action_words,produces,NA,工作,work (action),work (action)
item_258,V4TRY2,word,action_words,produces,NA,试,try,try
item_259,V4SELL,word,action_words,produces,NA,卖,sell,sell
item_260,V4DAN,word,action_words,produces,NA,掸掸,wipe,wipe
item_261,V4TIDY,word,action_words,produces,NA,收拾,tidy (action),clean (action)
item_262,V4FORGT,word,action_words,produces,NA,忘记,forget,forget
item_263,V4PRETE,word,action_words,produces,NA,假装,pretend,pretend
item_264,V4HOPE,word,action_words,produces,NA,希望,hope,hope
item_265,V4DUST,word,action_words,produces,NA,抖搂,shake,shake
item_266,V4SCRAP,word,action_words,produces,NA,蹭,rub,rub
item_267,E5WATER,word,food_drink,produces,NA,水,water (beverage),water (beverage)
item_268,E5MILK,word,food_drink,produces,NA,牛奶,milk,milk
item_269,E5CONGEE,word,food_drink,produces,NA,粥,porridge,porridge
item_270,E5SOUP,word,food_drink,produces,NA,汤,soup,soup
item_271,E5YOGURT,word,food_drink,produces,NA,酸奶,yogurt,yogurt
item_272,E5LEBAIS,word,food_drink,produces,NA,乐百氏,NA,kefir
item_273,E5JUICE,word,food_drink,produces,NA,果汁,juice,juice
item_274,E5COLA,word,food_drink,produces,NA,可乐,coke,coke
item_275,E5SODA,word,food_drink,produces,NA,汽水,soda,soda
item_276,E5TEA,word,food_drink,produces,NA,茶,tea,tea
item_277,E5DRINK,word,food_drink,produces,NA,饮料,drink (beverage),drink (beverage)
item_278,E5RICE,word,food_drink,produces,NA,饭,food,food
item_279,E5MI,word,food_drink,produces,NA,米,rice,rice
item_280,E5DUMPL,word,food_drink,produces,NA,饺子,dumpling,dumpling
item_281,E5NOODLE,word,food_drink,produces,NA,面条,noodles,pasta
item_282,E5BUN,word,food_drink,produces,NA,包子,bun,bun
item_283,E5MANTOU,word,food_drink,produces,NA,馒头,bun,bun
item_284,E5HUNDUN,word,food_drink,produces,NA,馄饨,dumpling,dumpling
item_285,E5MEAT,word,food_drink,produces,NA,肉,meat,meat
item_286,E5FISH,word,food_drink,produces,NA,鱼,fish (food),fish (food)
item_287,E5EGG,word,food_drink,produces,NA,蛋,egg,egg
item_288,E5SHRIMP,word,food_drink,produces,NA,虾,shrimp,shrimp
item_289,E5CHICKN,word,food_drink,produces,NA,鸡肉,chicken (food),chicken (food)
item_290,E5LIVER,word,food_drink,produces,NA,肝儿（猪肝、鸡肝）,liver,liver (food)
item_291,E5VEGGIE,word,food_drink,produces,NA,菜,dish,dish
item_292,E5BEAN,word,food_drink,produces,NA,豆子,beans,beans
item_293,E5BRBEAN,word,food_drink,produces,NA,扁豆,beans,beans
item_294,E5SPROUT,word,food_drink,produces,NA,豆芽,sprouts,sprouts
item_295,E5MELON,word,food_drink,produces,NA,瓜,melon,melon
item_296,E5CABBAG,word,food_drink,produces,NA,白菜,cabbage,cabbage
item_297,E5SPINAC,word,food_drink,produces,NA,菠菜,spinach,spinach
item_298,E5RADISH,word,food_drink,produces,NA,萝卜,carrots,carrot
item_299,E5POTATO,word,food_drink,produces,NA,土豆,potato,potato
item_300,E5TOMATO,word,food_drink,produces,NA,西红柿,tomato,tomato
item_301,E5CUKE,word,food_drink,produces,NA,黄瓜,cucumber,cucumber
item_302,E5CORN,word,food_drink,produces,NA,玉米,corn,corn
item_303,E5TOFU,word,food_drink,produces,NA,豆腐,tofu,tofu
item_304,E5ONION,word,food_drink,produces,NA,葱,scallion,scallion
item_305,E5MUSHRM,word,food_drink,produces,NA,蘑菇,mushrooms,mushroom
item_306,E5MUER,word,food_drink,produces,NA,木耳,mushroom,mushroom
item_307,E5FRUIT,word,food_drink,produces,NA,水果,fruit,fruit
item_308,E5APPLE,word,food_drink,produces,NA,苹果,apple,apple
item_309,E5BANANA,word,food_drink,produces,NA,香蕉,banana,banana
item_310,E5TANGER,word,food_drink,produces,NA,橘子,orange (food),orange (food)
item_311,E5ORANGE,word,food_drink,produces,NA,橙子,orange (food),orange (food)
item_312,E5GRAPE,word,food_drink,produces,NA,葡萄,grapes,grapes
item_313,E5WATMEL,word,food_drink,produces,NA,西瓜,watermelon,watermelon
item_314,E5STRAWB,word,food_drink,produces,NA,草莓,strawberry,strawberry
item_315,E5PEAR,word,food_drink,produces,NA,梨,pear,pear
item_316,E5CANDY,word,food_drink,produces,NA,糖,sugar,sugar
item_317,E5PANCAK,word,food_drink,produces,NA,饼,pancake,pancake
item_318,E5COOKIE,word,food_drink,produces,NA,饼干,cookie,cookie
item_319,E5BREAD,word,food_drink,produces,NA,面包,bread,bread
item_320,E5CAKE,word,food_drink,produces,NA,蛋糕,cake,cake
item_321,E5JELLY,word,food_drink,produces,NA,果冻,jelly,jelly
item_322,E5SEED,word,food_drink,produces,NA,瓜子,melon,melon
item_323,E5PEANUT,word,food_drink,produces,NA,花生,peanut,peanut
item_324,E5WALNUT,word,food_drink,produces,NA,核桃,walnut,nut
item_325,E5CHOCOL,word,food_drink,produces,NA,巧克力,chocolate,chocolate
item_326,E5FRIES,word,food_drink,produces,NA,薯条,french fries,french fries
item_327,E5POPSIC,word,food_drink,produces,NA,冰棍儿,popsicle,popsicle
item_328,E5HULU,word,food_drink,produces,NA,糖葫芦,candied fruit,NA
item_329,E5ICECRM,word,food_drink,produces,NA,冰淇淋,ice cream,ice cream
item_330,E5YOUTIA,word,food_drink,produces,NA,油条,dough fritters,donut
item_331,E5FLOUR,word,food_drink,produces,NA,面/面粉,flour,flour
item_332,E5PEPPER,word,food_drink,produces,NA,辣椒,pepper,pepper
item_333,E5SALT,word,food_drink,produces,NA,盐,salty,salt
item_334,E5VINEGA,word,food_drink,produces,NA,醋,vinegar,vinegar
item_335,E5SOYSAU,word,food_drink,produces,NA,酱油,sauce,sauce
item_336,B6HEAD,word,body_parts,produces,NA,头,head,head
item_337,B6NAODAI,word,body_parts,produces,NA,脑袋,brain,brain
item_338,B6HAIR,word,body_parts,produces,NA,头发,hair,hair
item_339,B6FACE,word,body_parts,produces,NA,脸,face,face
item_340,B6EYE,word,body_parts,produces,NA,眼睛,eye,eye
item_341,B6EYEBRO,word,body_parts,produces,NA,眉毛,eyebrows,eyebrow
item_342,B6CHEEK,word,body_parts,produces,NA,脸蛋,cheek,cheek
item_343,B6EAR,word,body_parts,produces,NA,耳朵,ear,ear
item_344,B6NOSE,word,body_parts,produces,NA,鼻子,nose,nose
item_345,B6MOUTH,word,body_parts,produces,NA,嘴（口）,mouth,mouth
item_346,B6LIPS,word,body_parts,produces,NA,嘴唇,lips,lip
item_347,B6TEETH,word,body_parts,produces,NA,牙,tooth,tooth
item_348,B6TONGUE,word,body_parts,produces,NA,舌头,tongue,tongue
item_349,B6CHIN,word,body_parts,produces,NA,下巴,chin,chin
item_350,B6NECK,word,body_parts,produces,NA,脖子,neck,neck
item_351,B6SHOULD,word,body_parts,produces,NA,肩膀,shoulder,shoulder
item_352,B6ELBOW,word,body_parts,produces,NA,胳膊,arm,arm
item_353,B6HAND,word,body_parts,produces,NA,手,hand,hand
item_354,B6FINGER,word,body_parts,produces,NA,手指头,finger,finger
item_355,B6THUMB,word,body_parts,produces,NA,大拇指,thumb,thumb
item_356,B6TUMMY,word,body_parts,produces,NA,肚子,tummy,tummy
item_357,B6BELLYB,word,body_parts,produces,NA,肚脐眼,belly button,belly button
item_358,B6BUTTOC,word,body_parts,produces,NA,屁股,butt,butt
item_359,B6LEG,word,body_parts,produces,NA,腿,leg,leg
item_360,B6FOOT,word,body_parts,produces,NA,脚/脚丫丫,foot,foot
item_361,B6KNEE,word,body_parts,produces,NA,膝盖,knee,knee
item_362,B6ANKLE,word,body_parts,produces,NA,脚腕,ankle,ankle
item_363,A7CAT,word,animals,produces,NA,猫,cat,cat
item_364,A7RABBIT,word,animals,produces,NA,小白兔/兔子,bunny,bunny
item_365,A7HORSE,word,animals,produces,NA,马,horse,horse
item_366,A7SHEEP,word,animals,produces,NA,羊,sheep,sheep
item_367,A7DOG,word,animals,produces,NA,狗,dog,dog
item_368,A7MONKEY,word,animals,produces,NA,猴子,monkey,monkey
item_369,A7TIGER,word,animals,produces,NA,老虎,tiger,tiger
item_370,A7COW,word,animals,produces,NA,牛,cow,cow
item_371,A7BEAR,word,animals,produces,NA,熊,bear,bear
item_372,A7PIG,word,animals,produces,NA,猪,pig,pig
item_373,A7ELEPH,word,animals,produces,NA,大象,elephant,elephant
item_374,A7PANDA,word,animals,produces,NA,熊猫,panda,panda
item_375,A7LION,word,animals,produces,NA,狮子,lion,lion
item_376,A7MOUSE,word,animals,produces,NA,老鼠,mouse,mouse
item_377,A7GORILL,word,animals,produces,NA,猩猩,gorilla,gorilla
item_378,A7DEER,word,animals,produces,NA,鹿,deer,deer
item_379,A7WOLF,word,animals,produces,NA,狼,wolf,wolf
item_380,A7ZEBRA,word,animals,produces,NA,斑马,zebra,zebra
item_381,A7GIRAFF,word,animals,produces,NA,长颈鹿,giraffe,giraffe
item_382,A7CAMEL,word,animals,produces,NA,骆驼,camel,camel
item_383,A7HEDGEH,word,animals,produces,NA,刺猬,hedgehog,hedgehog
item_384,A7ANIMAL,word,animals,produces,NA,动物,animal,animal
item_385,A7DUCK,word,animals,produces,NA,鸭子,duck,duck
item_386,A7BIRD,word,animals,produces,NA,鸟,bird,bird
item_387,A7CHICK,word,animals,produces,NA,小鸡,chick,chick
item_388,A7SWALLO,word,animals,produces,NA,燕子,swallow,swallow (animal)
item_389,A7PIGEON,word,animals,produces,NA,鸽子,pigeon,pigeon
item_390,A7GOOSE,word,animals,produces,NA,鹅,goose,goose
item_391,A7PENGUI,word,animals,produces,NA,企鹅,penguin,penguin
item_392,A7MAGPIE,word,animals,produces,NA,喜鹊,magpie,magpie
item_393,A7PEACOK,word,animals,produces,NA,孔雀,peacock,peacock
item_394,A7CROW,word,animals,produces,NA,乌鸦,crow,crow
item_395,A7EAGLE,word,animals,produces,NA,老鹰,eagle,eagle
item_396,A7OWL,word,animals,produces,NA,猫头鹰,owl,owl
item_397,A7FISH,word,animals,produces,NA,鱼,fish (animal),fish (animal)
item_398,A7BUG,word,animals,produces,NA,虫子,bug,bug
item_399,A7TURTLE,word,animals,produces,NA,乌龟,turtle,turtle
item_400,A7FROG,word,animals,produces,NA,青蛙,frog,frog
item_401,A7ANT,word,animals,produces,NA,蚂蚁,ant,ant
item_402,A7DRAGON,word,animals,produces,NA,龙,dragon,dragon
item_403,A7BUTFLY,word,animals,produces,NA,蝴蝶,butterfly,butterfly
item_404,A7DRAFLY,word,animals,produces,NA,蜻蜓,dragonfly,dragonfly
item_405,A7MOSQ,word,animals,produces,NA,蚊子,mosquito,mosquito
item_406,A7FLY,word,animals,produces,NA,苍蝇,fly,fly (animal)
item_407,A7SNAKE,word,animals,produces,NA,蛇,snake,snake
item_408,A7ALLIG,word,animals,produces,NA,鳄鱼,alligator,alligator
