itemID,item,type,category,choices,definition,complexity_category,gloss,uni_lemma
item_30,NA,word,sounds,understands; produces,אוי,NA,Oh,ouch
item_31,NA,word,sounds,understands; produces,אי אה,NA,Ah island,hee haw
item_32,NA,word,sounds,understands; produces,בזז,NA,Ransacked,buzz
item_33,NA,word,sounds,understands; produces,געגע,NA,Quacked,quack quack
item_34,NA,word,sounds,understands; produces,הב הב,NA,woof woof,woof woof
item_35,NA,word,sounds,understands; produces,הופה,NA,hoppe,wow
item_36,NA,word,sounds,understands; produces,הם,NA,they,they
item_37,NA,word,sounds,understands; produces,וון וון,NA,vroom,vroom
item_38,NA,word,sounds,understands; produces,מה מה,NA,baa baa,baa baa
item_39,NA,word,sounds,understands; produces,מו,NA,moo,moo
item_40,NA,word,sounds,understands; produces,מיאו,NA,meow,meow
item_41,NA,word,sounds,understands; produces,ציף ציף,NA,tweet tweet,tweet tweet
item_42,NA,word,sounds,understands; produces,ציק ציק צאק,NA,Tzik Tzik Chuck,choo choo
item_43,NA,word,sounds,understands; produces,קוקוריקו,NA,cockadoodledoo,cockadoodledoo
item_44,NA,word,sounds,understands; produces,ששש,NA,Shh,shh
item_45,NA,word,animals,understands; produces,אייל,NA,Eyal,deer
item_46,NA,word,animals,understands; produces,אפרוח,NA,baby chick,chick
item_47,NA,word,animals,understands; produces,אריה,NA,lion,lion
item_48,NA,word,animals,understands; produces,ברווז,NA,duck,duck
item_49,NA,word,animals,understands; produces,ג'וק,NA,Jock,bug
item_50,NA,word,animals,understands; produces,גור,NA,puppy,puppy
item_51,NA,word,animals,understands; produces,ג'ירפה,NA,giraffe,giraffe
item_52,NA,word,animals,understands; produces,דבורה,NA,bee,bee
item_53,NA,word,animals,understands; produces,דג,NA,fish (animal),fish (animal)
item_53,NA,word,animals,understands; produces,דג,NA,fish (food),fish (food)
item_54,NA,word,animals,understands; produces,דובי,NA,Bear,teddybear
item_55,NA,word,animals,understands; produces,זאב,NA,wolf,wolf
item_56,NA,word,animals,understands; produces,זבוב,NA,fly,fly (animal)
item_57,NA,word,animals,understands; produces,חזיר,NA,Pig,pig
item_58,NA,word,animals,understands; produces,חיה,NA,animal,animal
item_59,NA,word,animals,understands; produces,חיפושית,NA,beetle,beetle
item_60,NA,word,animals,understands; produces,חמור,NA,donkey,donkey
item_61,NA,word,animals,understands; produces,חתול,NA,cat,cat
item_62,NA,word,animals,understands; produces,טווס,NA,peacock,peacock
item_63,NA,word,animals,understands; produces,טלה,NA,lamb,lamb
item_64,NA,word,animals,understands; produces,ינשוף,NA,owl,owl
item_65,NA,word,animals,understands; produces,כבשה,NA,sheep,sheep
item_66,NA,word,animals,understands; produces,כלב,NA,dog,dog
item_67,NA,word,animals,understands; produces,נחש,NA,snake,snake
item_68,NA,word,animals,understands; produces,נמר,NA,tiger,tiger
item_69,NA,word,animals,understands; produces,סוס,NA,horse,horse
item_70,NA,word,animals,understands; produces,סנאי,NA,squirrel,squirrel
item_71,NA,word,animals,understands; produces,עכבר,NA,mouse,mouse
item_72,NA,word,animals,understands; produces,פיל,NA,elephant,elephant
item_73,NA,word,animals,understands; produces,פינגווין,NA,penguin,penguin
item_74,NA,word,animals,understands; produces,פרה,NA,cow,cow
item_75,NA,word,animals,understands; produces,פרפר,NA,butterfly,butterfly
item_76,NA,word,animals,understands; produces,צב,NA,turtle,turtle
item_77,NA,word,animals,understands; produces,ציפור,NA,bird,bird
item_78,NA,word,animals,understands; produces,צפרדע,NA,frog,frog
item_79,NA,word,animals,understands; produces,קוף,NA,monkey,monkey
item_80,NA,word,animals,understands; produces,קיפוד,NA,hedgehog,hedgehog
item_81,NA,word,animals,understands; produces,שפן,NA,Rabbit,bunny
item_82,NA,word,animals,understands; produces,תוכי,NA,parrot,parrot
item_83,NA,word,animals,understands; produces,תרנגול,NA,rooster,rooster
item_84,NA,word,animals,understands; produces,תרנגול הודו,NA,turkey,turkey
item_85,NA,word,vehicles,understands; produces,אוטו,NA,car,car
item_86,NA,word,vehicles,understands; produces,אוטובוס,NA,bus,bus
item_87,NA,word,vehicles,understands; produces,אופנוע,NA,motorcycle,motorcycle
item_88,NA,word,vehicles,understands; produces,אופניים,NA,bicycle,bicycle
item_89,NA,word,vehicles,understands; produces,אמבולנס,NA,ambulance,ambulance
item_90,NA,word,vehicles,understands; produces,ג'יפ,NA,jeep,jeep
item_91,NA,word,vehicles,understands; produces,טרקטור,NA,tractor,tractor
item_92,NA,word,vehicles,understands; produces,מטוס,NA,Plane,airplane
item_93,NA,word,vehicles,understands; produces,משאית,NA,truck,truck
item_94,NA,word,vehicles,understands; produces,עגלה,NA,stroller,stroller
item_95,NA,word,vehicles,understands; produces,קטר,NA,train engine,NA
item_96,NA,word,vehicles,understands; produces,רכבת,NA,train,train
item_97,NA,word,toys,understands; produces,בובה,NA,doll,doll
item_98,NA,word,toys,understands; produces,בועות,NA,bubbles,bubbles
item_99,NA,word,toys,understands; produces,בלון,NA,balloon,balloon
item_100,NA,word,toys,understands; produces,חרוזים,NA,beads,beads
item_101,NA,word,toys,understands; produces,כדור,NA,ball,ball
item_102,NA,word,toys,understands; produces,ליצן,NA,clown,clown
item_103,NA,word,toys,understands; produces,מגדל,NA,tower,tower
item_104,NA,word,toys,understands; produces,סביבון,NA,gyroscopes,NA
item_105,NA,word,toys,understands; produces,ספר,NA,book,book
item_106,NA,word,toys,understands; produces,עט,NA,pen,pen
item_107,NA,word,toys,understands; produces,צעצוע,NA,toy (object),toy (object)
item_108,NA,word,toys,understands; produces,קוביה,NA,block,blocks
item_109,NA,word,toys,understands; produces,רעשן,NA,Rattle,rattle (object)
item_110,NA,word,food_drink,understands; produces,אבטיח,NA,watermelon,watermelon
item_111,NA,word,food_drink,understands; produces,אגס,NA,pear,pear
item_112,NA,word,food_drink,understands; produces,אוכל,NA,food,food
item_113,NA,word,food_drink,understands; produces,אורז,NA,rice,rice
item_114,NA,word,food_drink,understands; produces,אפונה,NA,pea,peas
item_115,NA,word,food_drink,understands; produces,אפרסק,NA,peach,peach
item_116,NA,word,food_drink,understands; produces,ארטיק,NA,Artic,ice cream
item_117,NA,word,food_drink,understands; produces,במבה,NA,bamba,NA
item_118,NA,word,food_drink,understands; produces,בננה,NA,banana,banana
item_119,NA,word,food_drink,understands; produces,חביתה,NA,omelet,NA
item_120,NA,word,food_drink,understands; produces,חלב,NA,milk,milk
item_121,NA,word,food_drink,understands; produces,טוסט,NA,toast,toast
item_122,NA,word,food_drink,understands; produces,טחינה,NA,tehini,sauce
item_123,NA,word,food_drink,understands; produces,לחם,NA,bread,bread
item_124,NA,word,food_drink,understands; produces,לחמניה,NA,bun,bun
item_125,NA,word,food_drink,understands; produces,מים,NA,water (beverage),water (beverage)
item_126,NA,word,food_drink,understands; produces,מיץ,NA,juice,juice
item_127,NA,word,food_drink,understands; produces,מלפפון,NA,cucumber,cucumber
item_128,NA,word,food_drink,understands; produces,פיצה,NA,pizza,pizza
item_129,NA,word,food_drink,understands; produces,פיתה,NA,pita bread,pita
item_130,NA,word,food_drink,understands; produces,פילפל,NA,pepper,pepper
item_131,NA,word,food_drink,understands; produces,פתיתים,NA,ptitim,NA
item_132,NA,word,food_drink,understands; produces,צימוקים,NA,raisins,raisin
item_133,NA,word,food_drink,understands; produces,קלמנטינה,NA,clementine,clementine
item_134,NA,word,food_drink,understands; produces,קפה,NA,coffee,coffee
item_135,NA,word,food_drink,understands; produces,קציצה,NA,meat ball,meatball
item_136,NA,word,food_drink,understands; produces,קרקר,NA,cracker,cracker
item_137,NA,word,food_drink,understands; produces,בשר,NA,meat,meat
item_138,NA,word,food_drink,understands; produces,גבינה,NA,cheese,cheese
