"type","value","data_value"
"sex","M",
"sex","F",
"ethnicity","A",
"ethnicity","B",
"ethnicity","H",
"ethnicity","W",
"first_signs","yes","yes"
"first_signs","no","no"
"phrases","understands",
"phrases",,
"starting_to_talk","never","never"
"starting_to_talk","sometimes","sometimes"
"starting_to_talk","often","often"
"word","produces","says"
"word","understands","understands"
"word",,
"gestures_first","not yet","never"
"gestures_first","sometimes","sometimes"
"gestures_first","often","often"
"gestures_games","yes","yes"
"gestures_games","no","no"
"gestures_objects","yes","yes"
"gestures_objects","no","no"
"gestures_parent","yes","yes"
"gestures_parent","no","no"
"gestures_adult","yes","yes"
"gestures_adult","no","no"
