definition,aoa,category,lexical_category,lexical_class,uni_lemma
airplane,18.188777248108,vehicles,nouns,nouns,airplane
all,21.7415924084589,quantifiers,function_words,function_words,all
all gone,17.315309498825,descriptive_words,predicates,adjectives,all gone
animal,22.0974453400617,animals,nouns,nouns,animal
another,27.8310389242109,quantifiers,function_words,function_words,another
apple,17.2725131701489,food_drink,nouns,nouns,apple
arm,19.9495075323146,body_parts,nouns,nouns,arm
asleep,21.2449565562225,descriptive_words,predicates,adjectives,asleep
aunt,24.9235896138687,people,other,other,aunt
away,25.2252492260729,locations,function_words,function_words,away
baa baa,17.1258164246528,sounds,other,other,baa baa
baby,15.493085642025,people,other,other,baby
babysitter,31.3879393054897,people,other,other,babysitter
babysitter's name,21.374307565268,people,other,other,babysitter's name
back,21.0675158508157,locations,function_words,function_words,back
backyard,24.180198679253,outside,nouns,nouns,yard
bad,23.9092038075255,descriptive_words,predicates,adjectives,bad
ball,13.977428821926,toys,nouns,nouns,ball
balloon,16.1864941897085,toys,nouns,nouns,balloon
banana,15.9551795931149,food_drink,nouns,nouns,banana
bath,17.1732036534807,games_routines,other,other,bath
bathroom,22.7265090100842,furniture_rooms,nouns,nouns,bathroom
bathtub,19.3200170367912,furniture_rooms,nouns,nouns,bathtub
beach,21.4916494236757,outside,nouns,nouns,beach
beads,21.5262764507158,clothing,nouns,nouns,beads
bear,17.6879649918491,animals,nouns,nouns,bear
bed,19.9719676693728,furniture_rooms,nouns,nouns,bed
bedroom,22.5296950270184,furniture_rooms,nouns,nouns,bedroom
bee,18.5966396459482,animals,nouns,nouns,bee
belly button,18.3324661990304,body_parts,nouns,nouns,belly button
bib,19.3797293620064,clothing,nouns,nouns,bib
bicycle,19.4975563181657,vehicles,nouns,nouns,bicycle
big,20.4204896885795,descriptive_words,predicates,adjectives,big
bird,16.2170499740762,animals,nouns,nouns,bird
bite,19.7562736208922,action_words,predicates,verbs,bite
blanket,18.9323457226161,household,nouns,nouns,blanket
block,18.8392706034926,toys,nouns,nouns,block
blow,20.9896919806361,action_words,predicates,verbs,blow
blue,20.6337848582656,descriptive_words,predicates,adjectives,blue
book,15.7358080432528,toys,nouns,nouns,book
boots,19.4733018290861,clothing,nouns,nouns,boots
bottle,16.6961022366967,household,nouns,nouns,bottle
bowl,19.7433855266755,household,nouns,nouns,bowl
box,20.1403981109761,household,nouns,nouns,box
boy,21.7679438438577,people,other,other,boy
bread,19.6845117259083,food_drink,nouns,nouns,bread
break,21.7306834630208,action_words,predicates,verbs,break
breakfast,20.4676099621525,games_routines,other,other,breakfast
bring,26.6029488675782,action_words,predicates,verbs,bring
broken,19.809263553606,descriptive_words,predicates,adjectives,broken
broom,21.0912419864803,household,nouns,nouns,broom
brother,35.1769939269127,people,other,other,brother
brush,19.1122886113531,household,nouns,nouns,brush
bubbles,16.8972173271956,toys,nouns,nouns,bubbles
bug,18.766292388945,animals,nouns,nouns,bug
bump,20.304090747853,action_words,predicates,verbs,bump
bunny,18.6811674741188,animals,nouns,nouns,bunny
bus,19.1692947581084,vehicles,nouns,nouns,bus
butter,20.7240907480856,food_drink,nouns,nouns,butter
butterfly,20.3703275559576,animals,nouns,nouns,butterfly
button,18.8419973521043,clothing,nouns,nouns,button
bye,13.1099137834474,games_routines,other,other,bye
