definition,aoa,category,lexical_category,lexical_class,uni_lemma
a,26.5460644228316,quantifiers,function_words,function_words,a
a lot,28.1856304255076,quantifiers,function_words,function_words,a lot
about,31.7860318202371,locations,function_words,function_words,about
above,31.9001673381653,locations,function_words,function_words,above
after,28.4902104691927,time_words,other,other,after
airplane,19.7357737682717,vehicles,nouns,nouns,airplane
all,26.0009659728911,quantifiers,function_words,function_words,all
all gone,18.5581143306771,descriptive_words,predicates,adjectives,all gone
alligator,24.7070002294484,animals,nouns,nouns,alligator
am,28.2993742560236,helping_verbs,function_words,function_words,am
an,33.0947988395829,quantifiers,function_words,function_words,a
and,26.5700799567303,connecting_words,function_words,function_words,and
animal,23.6359796266042,animals,nouns,nouns,animal
ankle,29.4407971856952,body_parts,nouns,nouns,ankle
another,27.3326890934564,quantifiers,function_words,function_words,another
ant,24.1217216824662,animals,nouns,nouns,ant
any,28.7464800199294,quantifiers,function_words,function_words,any
apple,17.8123577796153,food_drink,nouns,nouns,apple
applesauce,24.6048469910037,food_drink,nouns,nouns,applesauce
are,28.7201788478152,helping_verbs,function_words,function_words,are
arm,21.2755456682257,body_parts,nouns,nouns,arm
around,28.790402348399,locations,function_words,function_words,around
asleep,24.0234971782942,descriptive_words,predicates,adjectives,asleep
at,27.6750665829268,locations,function_words,function_words,at
aunt,25.0511325720524,people,other,other,aunt
awake,25.3160577151869,descriptive_words,predicates,adjectives,awake
away,26.1399993304395,locations,function_words,function_words,away
baa baa,15.75268235588,sounds,other,other,baa baa
baby,15.3615096875498,people,other,other,baby
babysitter,30.254282372074,people,other,other,babysitter
babysitter's name,24.3941970064169,people,other,other,babysitter's name
back,25.5941282213567,locations,function_words,function_words,back
backyard,26.4140981421222,outside,nouns,nouns,yard
bad,24.3034868862211,descriptive_words,predicates,adjectives,bad
ball,11.7260660461236,toys,nouns,nouns,ball
balloon,16.6460758282837,toys,nouns,nouns,balloon
banana,15.6467933051188,food_drink,nouns,nouns,banana
basement,31.7323507237517,furniture_rooms,nouns,nouns,basement
basket,24.6453961854165,household,nouns,nouns,basket
bat,25.4204280008571,toys,nouns,nouns,bat
bath,17.6602261358164,games_routines,other,other,bath
bathroom,22.8897001384915,furniture_rooms,nouns,nouns,bathroom
bathtub,21.591653126259,furniture_rooms,nouns,nouns,bathtub
be,29.6943460137772,helping_verbs,function_words,function_words,be
beach,26.0894422975536,places,other,other,beach
beads,28.5251033862181,clothing,nouns,nouns,beads
beans,23.7879210603705,food_drink,nouns,nouns,beans
bear,18.5832983931069,animals,nouns,nouns,bear
because,29.5926193765755,connecting_words,function_words,function_words,because
bed,20.0147387726578,furniture_rooms,nouns,nouns,bed
bedroom,24.6234335660935,furniture_rooms,nouns,nouns,bedroom
bee,20.6153741910642,animals,nouns,nouns,bee
before,30.7219026302865,time_words,other,other,before
behind,28.2402278015506,locations,function_words,function_words,behind
belly button,19.9201762529803,body_parts,nouns,nouns,belly button
belt,25.3781548337633,clothing,nouns,nouns,belt
bench,29.9505413590101,furniture_rooms,nouns,nouns,bench
beside,32.4125517106685,locations,function_words,function_words,beside
better,26.3442066498788,descriptive_words,predicates,adjectives,better
