itemID,item,type,CategoryName,translated_category,definition,gloss,uni_lemma
item_1,p1_c01_i01,word,"1. קולות (קולות, בעלי חיים ומכשירים)",sounds,אוי/ איה,,
item_2,p1_c01_i02,word,"1. קולות (קולות, בעלי חיים ומכשירים)",sounds,אי-אה,,
item_3,p1_c01_i03,word,"1. קולות (קולות, בעלי חיים ומכשירים)",sounds,בזז...,,
item_4,p1_c01_i04,word,"1. קולות (קולות, בעלי חיים ומכשירים)",sounds,גע גע,,
item_5,p1_c01_i05,word,"1. קולות (קולות, בעלי חיים ומכשירים)",sounds,האו/ הב הב,,
item_6,p1_c01_i06,word,"1. קולות (קולות, בעלי חיים ומכשירים)",sounds,הופה,,
item_7,p1_c01_i07,word,"1. קולות (קולות, בעלי חיים ומכשירים)",sounds,הם/ מ מ...מ,,
item_8,p1_c01_i08,word,"1. קולות (קולות, בעלי חיים ומכשירים)",sounds,וון וון/ הנ/ ברר,,
item_9,p1_c01_i09,word,"1. קולות (קולות, בעלי חיים ומכשירים)",sounds,מה מה,,
item_10,p1_c01_i10,word,"1. קולות (קולות, בעלי חיים ומכשירים)",sounds,מו,,
item_11,p1_c01_i11,word,"1. קולות (קולות, בעלי חיים ומכשירים)",sounds,מיאו,,
item_12,p1_c01_i12,word,"1. קולות (קולות, בעלי חיים ומכשירים)",sounds,ציף ציף,,
item_13,p1_c01_i13,word,"1. קולות (קולות, בעלי חיים ומכשירים)",sounds,צ'יק צ'יק צ'אק,,
item_14,p1_c01_i14,word,"1. קולות (קולות, בעלי חיים ומכשירים)",sounds,קוקוריקו,,
item_15,p1_c01_i15,word,"1. קולות (קולות, בעלי חיים ומכשירים)",sounds,שש...ש,,
item_16,p1_c02_i01,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,אווז,,
item_17,p1_c02_i02,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,אייל/ צבי/ במבי,,
item_18,p1_c02_i03,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,אפרוח,,
item_19,p1_c02_i04,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,אריה,,
item_20,p1_c02_i05,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,ברווז,,
item_21,p1_c02_i06,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,ג'וק/ תיקן,,
item_22,p1_c02_i07,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,גור,,
item_23,p1_c02_i08,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,ג'ירפה,,
item_24,p1_c02_i09,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,דבורה,,
item_25,p1_c02_i10,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,דג,,
item_26,p1_c02_i11,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,דב/ דובי,,
item_27,p1_c02_i12,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,היפופוטם,,
item_28,p1_c02_i13,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,זאב,,
item_29,p1_c02_i14,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,זבוב,,
item_30,p1_c02_i15,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,זברה,,
item_31,p1_c02_i16,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,חיה,,
item_32,p1_c02_i17,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,חיפושית,,
item_33,p1_c02_i18,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,חמור,,
item_34,p1_c02_i19,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,חתול,,
item_35,p1_c02_i20,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,טווס,,
item_36,p1_c02_i21,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,טלה,,
item_37,p1_c02_i22,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,יונה,,
item_38,p1_c02_i23,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,ינשוף,,
item_39,p1_c02_i24,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,כבשה,,
item_40,p1_c02_i25,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,כלב,,
item_41,p1_c02_i26,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,נחש,,
item_42,p1_c02_i27,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,נמלה,,
item_43,p1_c02_i28,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,נמר,,
item_44,p1_c02_i29,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,סוס,,
item_45,p1_c02_i30,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,סנאי,,
item_46,p1_c02_i31,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,עכבר,,
item_47,p1_c02_i32,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,פיל,,
item_48,p1_c02_i33,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,פינגווין,,
item_49,p1_c02_i34,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,פרה,,
item_50,p1_c02_i35,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,פרפר,,
item_51,p1_c02_i36,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,צב,,
item_52,p1_c02_i37,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,ציפור,,
item_53,p1_c02_i38,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,צפרדע,,
item_54,p1_c02_i39,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,קוף,,
item_55,p1_c02_i40,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,קיפוד,,
item_56,p1_c02_i41,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,שפן/ ארנבת,,
item_57,p1_c02_i42,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,תוכי,,
item_58,p1_c02_i43,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,תנין,,
item_59,p1_c02_i44,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,תרנגול,,
item_60,p1_c02_i45,word,"2. שמות בעלי חיים אמיתיים, צעצועים או תמונות",animals,תרנגול הודו,,
item_61,p1_c03_i01,word,"3. כלי תחבורה (אמיתי, צעצוע או תמונה)",vehicles,אוטו/ מכונית,,
item_62,p1_c03_i02,word,"3. כלי תחבורה (אמיתי, צעצוע או תמונה)",vehicles,אוטובוס,,
item_63,p1_c03_i03,word,"3. כלי תחבורה (אמיתי, צעצוע או תמונה)",vehicles,אופנוע,,
item_64,p1_c03_i04,word,"3. כלי תחבורה (אמיתי, צעצוע או תמונה)",vehicles,אופניים,,
item_65,p1_c03_i05,word,"3. כלי תחבורה (אמיתי, צעצוע או תמונה)",vehicles,אניה,,
item_66,p1_c03_i06,word,"3. כלי תחבורה (אמיתי, צעצוע או תמונה)",vehicles,אמבולנס,,
item_67,p1_c03_i07,word,"3. כלי תחבורה (אמיתי, צעצוע או תמונה)",vehicles,ג'יפ,,
item_68,p1_c03_i08,word,"3. כלי תחבורה (אמיתי, צעצוע או תמונה)",vehicles,הליקופטר,,
item_69,p1_c03_i09,word,"3. כלי תחבורה (אמיתי, צעצוע או תמונה)",vehicles,טרקטור,,
item_70,p1_c03_i10,word,"3. כלי תחבורה (אמיתי, צעצוע או תמונה)",vehicles,מטוס/ אווירון,,
item_71,p1_c03_i11,word,"3. כלי תחבורה (אמיתי, צעצוע או תמונה)",vehicles,משאית,,
item_72,p1_c03_i12,word,"3. כלי תחבורה (אמיתי, צעצוע או תמונה)",vehicles,עגלה,,
item_73,p1_c03_i13,word,"3. כלי תחבורה (אמיתי, צעצוע או תמונה)",vehicles,קטר,,
item_74,p1_c03_i14,word,"3. כלי תחבורה (אמיתי, צעצוע או תמונה)",vehicles,רכבת,,
item_75,p1_c04_i01,word,4. צעצועים,toys,בובה,,
item_76,p1_c04_i02,word,4. צעצועים,toys,בועות,,
item_77,p1_c04_i03,word,4. צעצועים,toys,בלון,,
item_78,p1_c04_i04,word,4. צעצועים,toys,בצק/ פלסטלינה,,
item_79,p1_c04_i05,word,4. צעצועים,toys,גיר,,
item_80,p1_c04_i06,word,4. צעצועים,toys,דבק,,
item_81,p1_c04_i07,word,4. צעצועים,toys,חרוזים,,
