itemID,item,type,category,choices,definition,complexity_category,gloss,uni_lemma
item_32,i_4_1,word,sounds,understands; produces,au,NA,sheep,ouch
item_33,i_4_2,word,sounds,understands; produces,bææ,NA,bææ,baa baa
item_34,i_4_3,word,sounds,understands; produces,brrr (bil-lyd),NA,brr (car audio),vroom
item_35,i_4_4,word,sounds,understands; produces,gakk gakk,NA,gakk gakk,quack quack
item_36,i_4_5,word,sounds,understands; produces,grr,NA,grrr,grrr
item_37,i_4_6,word,sounds,understands; produces,kykeliky,NA,kykeliky,cockadoodledoo
item_38,i_4_7,word,sounds,understands; produces,mjau,NA,meow,meow
item_39,i_4_8,word,sounds,understands; produces,møø,NA,Need we say,moo
item_40,i_4_9,word,sounds,understands; produces,nam - nam,NA,nam - nam,yum yum
item_41,i_4_10,word,sounds,understands; produces,tøff-tøff,NA,tough-tough,choo choo
item_42,i_4_11,word,sounds,understands; produces,voff voff,NA,voff voff,woof woof
item_43,i_5_1,word,animals,understands; produces,and,NA,duck,duck
item_44,i_5_2,word,animals,understands; produces,(meite)mark,NA,(Earthworms) mark,worm
item_45,i_5_3,word,animals,understands; produces,ape(katt),NA,monkey,monkey
item_46,i_5_4,word,animals,understands; produces,bjørn,NA,Bears,bear
item_47,i_5_5,word,animals,understands; produces,dyr,NA,animals,animal
item_48,i_5_6,word,animals,understands; produces,ekorn,NA,Squirrel,squirrel
item_49,i_5_7,word,animals,understands; produces,elefant,NA,elephant,elephant
item_50,i_5_8,word,animals,understands; produces,elg,NA,moose,moose
item_51,i_5_9,word,animals,understands; produces,fisk (animal),NA,fish,fish (animal)
item_52,i_5_10,word,animals,understands; produces,flue,NA,fly,fly (animal)
item_53,i_5_11,word,animals,understands; produces,frosk,NA,frog,frog
item_54,i_5_12,word,animals,understands; produces,fugl,NA,bird,bird
item_55,i_5_13,word,animals,understands; produces,gås,NA,goose,goose
item_56,i_5_14,word,animals,understands; produces,gris,NA,pig,pig
item_57,i_5_15,word,animals,understands; produces,hest,NA,horse,horse
item_58,i_5_16,word,animals,understands; produces,hund,NA,dog,dog
item_59,i_5_17,word,animals,understands; produces,kanin,NA,rabbit,bunny
item_60,i_5_18,word,animals,understands; produces,katt,NA,cat,cat
item_61,i_5_19,word,animals,understands; produces,kattunge,NA,kitten,kitty
item_62,i_5_20,word,animals,understands; produces,ku,NA,cow,cow
item_63,i_5_21,word,animals,understands; produces,kylling (animal),NA,chicken,chicken (animal)
item_64,i_5_22,word,animals,understands; produces,lam,NA,lamb,lamb
item_65,i_5_23,word,animals,understands; produces,(leke)bamse,NA,(Play) teddy bear,teddybear
item_66,i_5_24,word,animals,understands; produces,løve,NA,lion,lion
item_67,i_5_25,word,animals,understands; produces,mus,NA,mouse,mouse
item_68,i_5_26,word,animals,understands; produces,pingvin,NA,Penguin,penguin
item_69,i_5_27,word,animals,understands; produces,reinsdyr,NA,reindeer,deer
item_70,i_5_28,word,animals,understands; produces,rev,NA,fox,fox
item_71,i_5_29,word,animals,understands; produces,sau,NA,sheep,sheep
item_72,i_5_30,word,animals,understands; produces,sjiraff,NA,giraffe,giraffe
item_73,i_5_31,word,animals,understands; produces,skilpadde,NA,tortoise,turtle
item_74,i_5_32,word,animals,understands; produces,sommerfugl,NA,butterfly,butterfly
item_75,i_5_33,word,animals,understands; produces,tiger,NA,tiger,tiger
item_76,i_5_34,word,animals,understands; produces,ugle,NA,owl,owl
item_77,i_5_35,word,animals,understands; produces,valp,NA,Puppy,puppy
item_78,i_5_36,word,animals,understands; produces,veps,NA,wasp,wasp
item_79,i_6_1,word,vehicles,understands; produces,barnevogn,NA,stroller,stroller
item_80,i_6_2,word,vehicles,understands; produces,bil,NA,car,car
item_81,i_6_3,word,vehicles,understands; produces,brannbil,NA,fire truck,firetruck
item_82,i_6_4,word,vehicles,understands; produces,buss,NA,coach,bus
item_83,i_6_5,word,vehicles,understands; produces,fly,NA,plane,airplane
item_84,i_6_6,word,vehicles,understands; produces,lastebil,NA,truck,truck
item_85,i_6_7,word,vehicles,understands; produces,motorsykkel,NA,motorcycle,motorcycle
item_86,i_6_8,word,vehicles,understands; produces,sykkel,NA,bicycle,bicycle
item_87,i_6_9,word,vehicles,understands; produces,tog,NA,train,train
item_88,i_7_1,word,toys,understands; produces,ball,NA,prom,ball
item_89,i_7_2,word,toys,understands; produces,ballong,NA,balloon,balloon
item_90,i_7_3,word,toys,understands; produces,bok,NA,book,book
item_91,i_7_4,word,toys,understands; produces,klosser,NA,bricks,blocks
item_92,i_7_5,word,toys,understands; produces,dukke,NA,baby doll,doll
item_93,i_7_6,word,toys,understands; produces,leke (object),NA,play,toy (object)
item_94,i_7_7,word,toys,understands; produces,(farge)blyant,NA,(Color) pencil,crayon
item_95,i_7_8,word,toys,understands; produces,såpebobler,NA,soap bubbles,bubbles
item_96,i_8_1,word,food_drink,understands; produces,appelsin,NA,orange,orange (food)
item_97,i_8_2,word,food_drink,understands; produces,banan,NA,banana,banana
item_98,i_8_3,word,food_drink,understands; produces,bolle,NA,bun,bun
item_99,i_8_4,word,food_drink,understands; produces,brød,NA,loaf of bread,bread
item_100,i_8_5,word,food_drink,understands; produces,corn flakes,NA,corn flakes,cheerios
item_101,i_8_6,word,food_drink,understands; produces,drikke (beverage),NA,drink,drink (beverage)
item_102,i_8_7,word,food_drink,understands; produces,egg,NA,eggs,egg
item_103,i_8_8,word,food_drink,understands; produces,eple,NA,apple,apple
item_104,i_8_9,word,food_drink,understands; produces,fisk (food),NA,fish,fish (food)
item_105,i_8_10,word,food_drink,understands; produces,frokostblanding,NA,cereal,cereal
item_106,i_8_11,word,food_drink,understands; produces,gulrot,NA,carrot,carrot
item_107,i_8_12,word,food_drink,understands; produces,is,NA,ice,ice cream
item_108,i_8_13,word,food_drink,understands; produces,juice,NA,juice,juice
item_109,i_8_14,word,food_drink,understands; produces,kaffe,NA,coffee,coffee
item_110,i_8_15,word,food_drink,understands; produces,kake,NA,cake,cake
item_111,i_8_16,word,food_drink,understands; produces,kjeks,NA,cookies,cracker
item_112,i_8_17,word,food_drink,understands; produces,kjøtt,NA,meat,meat
item_113,i_8_18,word,food_drink,understands; produces,kylling (food),NA,chicken,chicken (food)
item_114,i_8_19,word,food_drink,understands; produces,mat,NA,food,food
item_115,i_8_20,word,food_drink,understands; produces,melk,NA,milk,milk
item_116,i_8_21,word,food_drink,understands; produces,ost,NA,cheese,cheese
item_117,i_8_22,word,food_drink,understands; produces,pasta,NA,pasta,pasta
item_118,i_8_23,word,food_drink,understands; produces,pizza,NA,pizza,pizza
item_119,i_8_24,word,food_drink,understands; produces,rosiner,NA,raisins,raisin
item_120,i_8_25,word,food_drink,understands; produces,smør,NA,butter,butter
item_121,i_8_26,word,food_drink,understands; produces,spagetti,NA,spaghetti,pasta
item_122,i_8_27,word,food_drink,understands; produces,sukkertøy,NA,Confectionery,candy
item_123,i_8_28,word,food_drink,understands; produces,vann (beverage),NA,water,water (beverage)
item_124,i_9_1,word,clothing,understands; produces,bleie,NA,Diaper,diaper
item_125,i_9_2,word,clothing,understands; produces,bukse,NA,pants,pants
item_126,i_9_3,word,clothing,understands; produces,genser,NA,sweater,sweater
item_127,i_9_4,word,clothing,understands; produces,glidelås,NA,zipper,zipper
item_128,i_9_5,word,clothing,understands; produces,halskjede,NA,Necklace,necklace
item_129,i_9_6,word,clothing,understands; produces,jakke,NA,jacket,jacket
item_130,i_9_7,word,clothing,understands; produces,kjole,NA,dress,dress (object)
item_131,i_9_8,word,clothing,understands; produces,knapp,NA,button,button
item_132,i_9_9,word,clothing,understands; produces,lue,NA,cap,hat
item_133,i_9_10,word,clothing,understands; produces,pysjamas,NA,pajamas,pajamas
item_134,i_9_11,word,clothing,understands; produces,regntøy,NA,rainwear,coat
item_135,i_9_12,word,clothing,understands; produces,shorts,NA,shorts,shorts
item_136,i_9_13,word,clothing,understands; produces,sko,NA,shoe,shoe
item_137,i_9_14,word,clothing,understands; produces,smekke,NA,bib,bib
item_138,i_9_15,word,clothing,understands; produces,smokk,NA,pacifier,pacifier
item_139,i_9_16,word,clothing,understands; produces,sokker,NA,socks,sock
item_140,i_9_17,word,clothing,understands; produces,støvler,NA,boots,boot
item_141,i_9_18,word,clothing,understands; produces,strømpebukse,NA,tights,tights
item_142,i_9_19,word,clothing,understands; produces,t-skjorte,NA,T-shirt,t-shirt
item_143,i_9_20,word,clothing,understands; produces,votter,NA,mittens,mitten
item_144,i_10_1,word,body_parts,understands; produces,ansikt,NA,face,face
item_145,i_10_2,word,body_parts,understands; produces,arm,NA,arm,arm
item_146,i_10_3,word,body_parts,understands; produces,bein,NA,bone,leg
item_147,i_10_4,word,body_parts,understands; produces,finger,NA,finger,finger
item_148,i_10_5,word,body_parts,understands; produces,fot,NA,foot,foot
item_149,i_10_6,word,body_parts,understands; produces,hånd,NA,hand,hand
item_150,i_10_7,word,body_parts,understands; produces,hår,NA,hair,hair
item_151,i_10_8,word,body_parts,understands; produces,hode,NA,head,head
item_152,i_10_9,word,body_parts,understands; produces,kinn,NA,cheek,cheek
item_153,i_10_10,word,body_parts,understands; produces,kne,NA,knee,knee
item_154,i_10_11,word,body_parts,understands; produces,mage,NA,stomach,tummy
item_155,i_10_12,word,body_parts,understands; produces,munn,NA,mouth,mouth
item_156,i_10_13,word,body_parts,understands; produces,navle,NA,belly button,belly button
item_157,i_10_14,word,body_parts,understands; produces,nese,NA,nose,nose
item_158,i_10_15,word,body_parts,understands; produces,øre,NA,ear,ear
item_159,i_10_16,word,body_parts,understands; produces,øye,NA,eye,eye
item_160,i_10_17,word,body_parts,understands; produces,tå,NA,toe,toe
item_161,i_10_18,word,body_parts,understands; produces,tenner,NA,teeth,tooth
item_162,i_10_19,word,body_parts,understands; produces,tiss,NA,tiss,penis
item_163,i_10_20,word,body_parts,understands; produces,tunge,NA,tongue,tongue
item_164,i_11_1,word,household,understands; produces,bilde,NA,picture,picture
item_165,i_11_2,word,household,understands; produces,børste,NA,brush,brush (object)
item_166,i_11_3,word,household,understands; produces,briller,NA,glasses,glasses
item_167,i_11_4,word,household,understands; produces,dyne,NA,duvet,blanket
item_168,i_11_5,word,household,understands; produces,eske,NA,box,box
item_169,i_11_6,word,household,understands; produces,flaske,NA,bottle,bottle
item_170,i_11_7,word,household,understands; produces,gaffel,NA,fork,fork
item_171,i_11_8,word,household,understands; produces,glass,NA,glass,glass
item_172,i_11_9,word,household,understands; produces,hammer,NA,hammer,hammer
item_173,i_11_10,word,household,understands; produces,håndkle,NA,towel,towel
item_174,i_11_11,word,household,understands; produces,kam,NA,comb,comb (object)
item_175,i_11_12,word,household,understands; produces,klokke,NA,clock,clock
item_176,i_11_13,word,household,understands; produces,kniv,NA,knife,knife
item_177,i_11_14,word,household,understands; produces,kopp,NA,cup,cup
item_178,i_11_15,word,household,understands; produces,kost,NA,costly,broom
item_179,i_11_16,word,household,understands; produces,lampe,NA,lamp,lamp
item_180,i_11_17,word,household,understands; produces,lommebok,NA,purse,wallet
item_181,i_11_18,word,household,understands; produces,lys,NA,light,light (object)
item_182,i_11_19,word,household,understands; produces,medisin,NA,medicine,medicine
item_183,i_11_20,word,household,understands; produces,nøkler,NA,Keys,key
item_184,i_11_21,word,household,understands; produces,papir,NA,paper,paper
item_185,i_11_22,word,household,understands; produces,penger,NA,money,money
item_186,i_11_23,word,household,understands; produces,plante,NA,plant,plant
item_187,i_11_24,word,household,understands; produces,pute,NA,pillow,pillow
item_188,i_11_25,word,household,understands; produces,radio,NA,radio,radio
item_189,i_11_26,word,household,understands; produces,saks,NA,scissors,scissors
item_190,i_11_27,word,household,understands; produces,såpe,NA,soap,soap
item_191,i_11_28,word,household,understands; produces,skål,NA,Cheers,bowl
item_192,i_11_29,word,household,understands; produces,skje,NA,spoon,spoon
item_193,i_11_30,word,household,understands; produces,søppel,NA,trash,trash
item_194,i_11_31,word,household,understands; produces,støvsuger,NA,vacuum cleaner,vacuum
item_195,i_11_32,word,household,understands; produces,tallerken,NA,plate,plate
item_196,i_11_33,word,household,understands; produces,tannbørste,NA,toothbrush,toothbrush
item_197,i_11_34,word,household,understands; produces,telefon,NA,phone,telephone
item_198,i_11_35,word,household,understands; produces,teppe,NA,blanket,blanket
item_199,i_12_1,word,furniture_rooms,understands; produces,bad,NA,bathroom,bathroom
item_200,i_12_2,word,furniture_rooms,understands; produces,badekar,NA,bathtub,bathtub
item_201,i_12_3,word,furniture_rooms,understands; produces,barnestol,NA,Highchair,high chair
item_202,i_12_4,word,furniture_rooms,understands; produces,bord,NA,table,table
item_203,i_12_5,word,furniture_rooms,understands; produces,dør,NA,dies,door
item_204,i_12_6,word,furniture_rooms,understands; produces,garasje,NA,garage,garage
item_205,i_12_7,word,furniture_rooms,understands; produces,gyngestol,NA,rocking chair,rocking chair
item_206,i_12_8,word,furniture_rooms,understands; produces,kjøkken,NA,kitchen,kitchen
item_207,i_12_9,word,furniture_rooms,understands; produces,kjøleskap,NA,refrigerator,refrigerator
item_208,i_12_10,word,furniture_rooms,understands; produces,komfyr,NA,stove,stove
item_209,i_12_11,word,furniture_rooms,understands; produces,lekegrind,NA,playpen,play pen
item_210,i_12_12,word,furniture_rooms,understands; produces,ovn,NA,oven,oven
item_211,i_12_13,word,furniture_rooms,understands; produces,potte,NA,Potty,potty
item_212,i_12_14,word,furniture_rooms,understands; produces,seng,NA,bed,bed
item_213,i_12_15,word,furniture_rooms,understands; produces,skuff,NA,Tray,drawer
item_214,i_12_16,word,furniture_rooms,understands; produces,sofa,NA,sofa,couch
item_215,i_12_17,word,furniture_rooms,understands; produces,soverom,NA,bedroom,bedroom
item_216,i_12_18,word,furniture_rooms,understands; produces,stol,NA,chair,chair
item_217,i_12_19,word,furniture_rooms,understands; produces,stue,NA,living room,living room
item_218,i_12_20,word,furniture_rooms,understands; produces,trapp,NA,staircase,stairs
item_219,i_12_21,word,furniture_rooms,understands; produces,TV,NA,Television,TV
item_220,i_12_22,word,furniture_rooms,understands; produces,vask,NA,wash,sink
item_221,i_12_23,word,furniture_rooms,understands; produces,vindu,NA,window,window
item_222,i_13_1,word,outside,understands; produces,blomst,NA,flower,flower
item_223,i_13_2,word,outside,understands; produces,himmel,NA,heaven,sky
item_224,i_13_3,word,outside,understands; produces,huske (object),NA,remember,swing (object)
item_225,i_13_4,word,outside,understands; produces,måne,NA,moon,moon
item_226,i_13_5,word,outside,understands; produces,regn,NA,rain,rain
item_227,i_13_6,word,outside,understands; produces,sklie,NA,slide,slide (object)
item_228,i_13_7,word,outside,understands; produces,snø,NA,snow,snow
item_229,i_13_8,word,outside,understands; produces,sol,NA,sun,sun
item_230,i_13_9,word,outside,understands; produces,spade,NA,shovel,shovel
item_231,i_13_10,word,outside,understands; produces,stein,NA,stone,rock (object)
item_232,i_13_11,word,outside,understands; produces,stjerner,NA,stars,star
item_233,i_13_12,word,outside,understands; produces,tre,NA,three,tree
item_234,i_13_13,word,outside,understands; produces,ute (place),NA,out,outside
item_235,i_13_14,word,outside,understands; produces,vann (not beverage),NA,water,water (not beverage)
item_236,i_14_1,word,places,understands; produces,butikk,NA,shop,store
item_237,i_14_2,word,places,understands; produces,dyrehage,NA,zoo,zoo
item_238,i_14_3,word,places,understands; produces,fest,NA,fest,party
item_239,i_14_4,word,places,understands; produces,hage,NA,garden,garden
item_240,i_14_5,word,places,understands; produces,hjem,NA,home,home
item_241,i_14_6,word,places,understands; produces,hus,NA,house,house
item_242,i_14_7,word,places,understands; produces,jobb,NA,job,work (place)
item_243,i_14_8,word,places,understands; produces,kirke,NA,church,church
item_244,i_14_9,word,places,understands; produces,park,NA,park,park
item_245,i_14_10,word,places,understands; produces,skole,NA,school,school
item_246,i_14_11,word,places,understands; produces,strand,NA,beach,beach
item_247,i_14_12,word,places,understands; produces,svømmehall,NA,svømmehall,pool
item_248,i_15_1,word,people,understands; produces,baby,NA,baby,baby
item_249,i_15_2,word,people,understands; produces,barn,NA,children,child
item_250,i_15_3,word,people,understands; produces,barnets navn,NA,child's name,child's own name
item_251,i_15_4,word,people,understands; produces,bestefar,NA,grandfather,grandpa
item_252,i_15_5,word,people,understands; produces,bestemor,NA,grandmother,grandma
item_253,i_15_6,word,people,understands; produces,bror,NA,brother,brother
item_254,i_15_7,word,people,understands; produces,dame,NA,lady,lady
item_255,i_15_8,word,people,understands; produces,farfar,NA,grandfather,grandpa
item_256,i_15_9,word,people,understands; produces,farmor,NA,grandmother,grandma
item_257,i_15_10,word,people,understands; produces,gutt,NA,boy,boy
item_258,i_15_11,word,people,understands; produces,jente,NA,girl,girl
item_259,i_15_12,word,people,understands; produces,mamma,NA,mommy,mommy
item_260,i_15_13,word,people,understands; produces,mann,NA,husband,man
item_261,i_15_14,word,people,understands; produces,menneske,NA,person,person
item_262,i_15_15,word,people,understands; produces,morfar,NA,grandfather,grandpa
item_263,i_15_16,word,people,understands; produces,mormor,NA,Granny,grandma
item_264,i_15_17,word,people,understands; produces,oldefar,NA,great grandfather,great grandpa
item_265,i_15_18,word,people,understands; produces,oldemor,NA,great grandmother,great grandma
item_266,i_15_19,word,people,understands; produces,onkel,NA,Uncle,uncle
item_267,i_15_20,word,people,understands; produces,pappa,NA,daddy,daddy
item_268,i_15_21,word,people,understands; produces,søster,NA,sister,sister
item_269,i_15_22,word,people,understands; produces,tante,NA,Aunt,aunt
item_270,i_16_1,word,games_routines,understands; produces,bade,NA,bathing,bath
item_271,i_16_2,word,games_routines,understands; produces,frokost,NA,breakfast,breakfast
item_272,i_16_3,word,games_routines,understands; produces,god natt,NA,good night,good night
item_273,i_16_4,word,games_routines,understands; produces,ha det,NA,bye bye,bye
item_274,i_16_5,word,games_routines,understands; produces,hei,NA,hey there,hi
item_275,i_16_6,word,games_routines,understands; produces,hysj,NA,hush,shh
item_276,i_16_7,word,games_routines,understands; produces,ikke (routine),NA,do not,don't
item_277,i_16_8,word,games_routines,understands; produces,ja,NA,yes,yes
item_278,i_16_9,word,games_routines,understands; produces,klappe kake,NA,pat cake,pattycake
item_279,i_16_10,word,games_routines,understands; produces,Borte! (lek hvor ansikt gjemmes og plutselig vises),NA,Gone! (Play where face hidden and suddenly appears),peekaboo
item_280,i_16_11,word,games_routines,understands; produces,lunsj,NA,lunch,lunch
item_281,i_16_12,word,games_routines,understands; produces,middag,NA,dinner,dinner
item_282,i_16_13,word,games_routines,understands; produces,nei,NA,no,no
item_283,i_16_14,word,games_routines,understands; produces,sovetid,NA,sleeping time,nap
item_284,i_16_15,word,games_routines,understands; produces,takk,NA,thank you,thank you
item_285,i_16_16,word,games_routines,understands; produces,vær så snill,NA,por favor,please
item_286,i_16_17,word,games_routines,understands; produces,vent,NA,hold it,wait
item_287,i_16_18,word,games_routines,understands; produces,vil,NA,want to,wanna
item_288,i_17_1,word,action_words,understands; produces,bite,NA,bite,bite
item_289,i_17_2,word,action_words,understands; produces,blåse,NA,blow,blow
item_290,i_17_3,word,action_words,understands; produces,danse,NA,dance,dance
item_291,i_17_4,word,action_words,understands; produces,dra,NA,drag,go
item_292,i_17_5,word,action_words,understands; produces,drikke (action),NA,drink,drink (action)
item_293,i_17_6,word,action_words,understands; produces,dytte,NA,shove,push
item_294,i_17_7,word,action_words,understands; produces,elske,NA,making love,love
item_295,i_17_8,word,action_words,understands; produces,få,NA,get,get
item_296,i_17_9,word,action_words,understands; produces,falle,NA,fall,fall
item_297,i_17_10,word,action_words,understands; produces,forte seg,NA,hurry,hurry
item_298,i_17_11,word,action_words,understands; produces,gå,NA,go,walk
item_299,i_17_12,word,action_words,understands; produces,gi,NA,give,give
item_300,i_17_13,word,action_words,understands; produces,gjøre seg ferdig,NA,should finish,finish
item_301,i_17_14,word,action_words,understands; produces,gråte,NA,cry,cry
item_302,i_17_15,word,action_words,understands; produces,hente,NA,fetch,get
